原始产品分类,分类规则ID,分类触发词,新一级类,新二级类,新三级类,分类依据,是否建议人工复核,记录数,示例产品名称
化妆品-->染发类,CAT_REVIEW_OTHER,化妆品,其他/待复核,化妆品,染发类,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,3,康妆染发膏（咖啡色）；圣依莉染发膏（自然黑色）；天科染发膏（自然黑）
方便食品-->调味面制品,CAT_VEG,白菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：白菜。,否,3,辣白菜味；辣白菜味-素食（调味面制品）；辣白菜味（调味面制品）
水果及其制品-->果酱,CAT_FRUIT,桃,水果及水果制品,鲜食水果,核果类,结合原始产品分类与产品名称进行水果细分；触发词：桃。,否,3,猕猴桃果酱；水蜜桃果溶(果味酱)；蜜桃乌龙果酱
水果及其制品-->果酱,CAT_FRUIT,蓝莓,水果及水果制品,鲜食水果,浆果/葡萄类,结合原始产品分类与产品名称进行水果细分；触发词：蓝莓。,否,3,蓝莓果酱
水果及其制品-->枣,CAT_FRUIT,苹果,水果及水果制品,鲜食水果,仁果类,结合原始产品分类与产品名称进行水果细分；触发词：苹果。,否,3,苹果枣
水果及其制品-->菠萝,CAT_FRUIT,菠萝,水果及水果制品,鲜食水果,热带/亚热带水果,结合原始产品分类与产品名称进行水果细分；触发词：菠萝。,否,3,泰国小菠萝；迷你小菠萝；菠萝
水果及其制品-->蓝莓,CAT_FRUIT,蓝莓,水果及水果制品,鲜食水果,浆果/葡萄类,结合原始产品分类与产品名称进行水果细分；触发词：蓝莓。,否,3,蓝莓
粮食及其制品-->其他小麦粉制品,CAT_VEG,韭菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：韭菜。,否,3,韭菜叶子面条（生湿面）；韭菜叶子面（生湿面制品）；水面(韭菜面)(生湿面)
粮食及其制品-->挂面,CAT_VEG,韭菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：韭菜。,否,3,韭菜叶子面(挂面)；韭菜叶挂面
糖果和巧克力、可可及其制品-->糖果,CAT_VEG,辣椒,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：辣椒。,否,3,小辣椒（水果味）；小辣椒（水果味）硬质糖果（淀粉糖浆型）
罐头食品-->蔬菜罐头,CAT_VEG,食用菌,蔬菜及蔬菜制品,食用菌,食用菌及其制品,结合原始产品分类与产品名称进行蔬菜细分；触发词：食用菌。,否,3,珍珠菌（食用菌罐头）；水煮香菇（食用菌罐头）；水煮姬菇（食用菌罐头）
蔬菜及其制品-->莲藕,CAT_VEG,莲藕,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：莲藕。,否,3,莲藕
蔬菜及其制品-->食用菌制品,CAT_VEG,酱腌菜,蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：酱腌菜。,否,3,香菇榨菜(酱腌菜)；木耳榨菜(酱腌菜)；香菇木耳菜(酱腌菜)
薯类及膨化食品-->膨化食品,CAT_VEG,黄瓜,蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：黄瓜。,否,3,小米锅巴（清怡黄瓜味）；小林薯片（清新黄瓜味）；翡翠黄瓜味薯片
薯类及膨化食品-->薯类食品,CAT_VEG,土豆,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：土豆。,否,3,爽口土豆片(烧烤味)；爽口土豆片(香辣味)；原切土豆片（麻辣味）
蜂产品-->蜂花粉,CAT_HONEY,蜂产品,蜂产品,蜂花粉,按原始蜂产品细类,原始分类指向蜂产品。,否,3,蜂花粉；莲花蜂花粉
速冻面米与调制食品-->速冻调制食品,CAT_VEG,番茄,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：番茄。,否,3,恒都儿童牛排(番茄味)；顶诺牛排(番茄味)(速冻生制调制肉制品)；番茄牛排
餐饮-->蔬菜,CAT_CATERING_VEG,包菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：包菜。,否,3,泡包菜
餐饮-->蔬菜,CAT_CATERING_VEG,黄瓜,蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：黄瓜。,否,3,泡黄瓜；泡黄瓜(餐饮自制)
水产及其制品-->水产制品,CAT_VEG,白菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：白菜。,否,2,一级海白菜（裙带菜梗）；山椒海白菜
水果及其制品-->枇杷,CAT_FRUIT,原始水果分类,水果及水果制品,鲜食水果,枇杷,结合原始产品分类与产品名称进行水果细分；触发词：原始水果分类。,是,2,枇杷
淀粉及淀粉制品-->淀粉,CAT_VEG,土豆,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：土豆。,否,2,友加土豆淀粉；百钻土豆淀粉
焙烤食品-->饼干,CAT_VEG,番茄,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：番茄。,否,2,脆美司番茄味棒饼干；旺旺开心珍棒发酵饼干(番茄味)
粮食及其制品-->其他粮食及其制品,CAT_GRAIN_FLOUR,小麦粉,粮食及粮食制品,谷物粉类,小麦粉,产品名称/原始分类指向小麦粉。,否,2,自发小麦粉(发酵面制品预拌粉)；预拌粉（自发小麦粉）
罐头食品-->其他罐头,CAT_REVIEW_OTHER,罐头食品,其他/待复核,罐头食品,其他罐头,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,2,腊肉糯米饭；即食燕窝（其他罐头）
罐头食品-->蔬菜罐头,CAT_VEG,竹笋,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：竹笋。,否,2,水煮细笋（水煮竹笋）；冬笋火锅片（水煮竹笋）（罐头）
蔬菜及其制品-->白菜,CAT_VEG,青菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：青菜。,否,2,普通白菜(青菜)
蔬菜及其制品-->芦笋,CAT_VEG,芦笋,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：芦笋。,否,2,牛尾笋；箭笋
蛋及蛋制品-->鲜蛋,CAT_VEG,黄瓜,蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：黄瓜。,否,2,黄瓜山鲜鸡蛋30枚
蜂产品-->蜂王浆,CAT_HONEY,蜂产品,蜂产品,蜂王浆,按原始蜂产品细类,原始分类指向蜂产品。,否,2,蜂王浆
调味品-->复合调味料,CAT_VEG,土豆,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：土豆。,否,2,土豆粉专用调味料(酸辣味)(半固态复合调味料)；土豆豉香辣酱
速冻面米与调制食品-->速冻面米食品,CAT_VEG,芹菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：芹菜。,否,2,牛肉芹菜水饺；猪肉芹菜灌汤水饺
餐饮-->蔬菜,CAT_CATERING_VEG,甘蓝,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：甘蓝。,否,2,泡紫甘蓝菜
饮料-->其他饮料,CAT_BEVERAGE,饮料,饮料,其他饮料,按原始饮料细类,原始分类指向饮料。,否,2,天宝春(饮料)；耳花蜜大枣饮品(其他饮料)
保健食品-->丸剂,CAT_HEALTH,保健食品,保健食品,丸剂,按原始剂型,原始分类指向保健食品。,否,1,盖氏云草牌当归丹参川芎丸
冷冻饮品-->食用冰,CAT_REVIEW_OTHER,冷冻饮品,其他/待复核,冷冻饮品,食用冰,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,1,食用冰
化妆品-->烫发类,CAT_REVIEW_OTHER,化妆品,其他/待复核,化妆品,烫发类,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,1,天之鸿烫发水
坚果和籽类-->加工坚果与籽类,CAT_VEG,黄瓜,蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：黄瓜。,否,1,蟹黄瓜子仁（蟹黄味）
水果及其制品-->山楂,CAT_FRUIT,原始水果分类,水果及水果制品,鲜食水果,山楂,结合原始产品分类与产品名称进行水果细分；触发词：原始水果分类。,是,1,本色山楂
水果及其制品-->果酱,CAT_FRUIT,柠檬,水果及水果制品,鲜食水果,柑橘类,结合原始产品分类与产品名称进行水果细分；触发词：柠檬。,否,1,喜禾耐烘焙果酱(果味酱)(柠檬)
水果及其制品-->果酱,CAT_FRUIT,橙,水果及水果制品,鲜食水果,柑橘类,结合原始产品分类与产品名称进行水果细分；触发词：橙。,否,1,今明后鲜橙果酱
水果及其制品-->果酱,CAT_FRUIT,苹果,水果及水果制品,鲜食水果,仁果类,结合原始产品分类与产品名称进行水果细分；触发词：苹果。,否,1,复合苹果酱
水果及其制品-->梨,CAT_FRUIT,苹果,水果及水果制品,鲜食水果,仁果类,结合原始产品分类与产品名称进行水果细分；触发词：苹果。,否,1,苹果梨
水果及其制品-->蓝莓,CAT_FRUIT,葡萄,水果及水果制品,鲜食水果,浆果/葡萄类,结合原始产品分类与产品名称进行水果细分；触发词：葡萄。,否,1,蓝莓葡萄
水果及其制品-->蜜饯,CAT_VEG,番茄,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：番茄。,否,1,圣女果（小番茄果脯）
焙烤食品-->糕点,CAT_VEG,土豆,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：土豆。,否,1,米西乐土豆糍粑(麻辣味)
焙烤食品-->饼干,CAT_VEG,黄瓜,蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：黄瓜。,否,1,素食黄瓜清爽咸味饼干（普通型韧性饼干）
牙膏-->牙膏,CAT_REVIEW_OTHER,牙膏,其他/待复核,牙膏,牙膏,未匹配到明确的食品语义规则，保留原始分类并建议人工复核。,是,1,韩伦美羽烟酰胺炫白牙膏
特殊膳食食品-->其他特殊膳食食品,CAT_SPECIAL_DIET,特殊膳食食品,特殊膳食食品,其他特殊膳食食品,按原始特殊膳食细类,原始分类指向特殊膳食食品。,否,1,益生菌婴幼儿专用辅食营养素撒剂
粮食及其制品-->其他小麦粉制品,CAT_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,其他小麦粉制品,结合原始产品分类与产品名称进行蔬菜细分；触发词：原始蔬菜分类。,是,1,蔬菜水饺皮
粮食及其制品-->其他小麦粉制品,CAT_VEG,番茄,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：番茄。,否,1,番茄金捞面叶
粮食及其制品-->大米,CAT_GRAIN_RICE_PRODUCT,米制品,粮食及粮食制品,米制品,大米加工制品,产品名称/原始分类指向大米加工制品。,否,1,滇碗香过桥米线
粮食及其制品-->挂面,CAT_GRAIN_RICE_PRODUCT,米制品,粮食及粮食制品,米制品,大米加工制品,产品名称/原始分类指向大米加工制品。,否,1,细米线
糖果和巧克力、可可及其制品-->可可及其制品,CAT_CANDY,糖果和巧克力、可可及其制品,糖果巧克力及果冻,可可及其制品,按原始糖果细类,原始分类指向糖果、巧克力、可可或果冻。,否,1,可可粉
糖果和巧克力、可可及其制品-->糖果,CAT_VEG,番茄,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：番茄。,否,1,瑞士糖（蓝莓味+番茄味）
罐头食品-->肉类罐头,CAT_VEG,豇豆,蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：豇豆。,否,1,干豇豆红烧肉
罐头食品-->蔬菜罐头,CAT_VEG,笋干,蔬菜及蔬菜制品,蔬菜制品,干制/脱水蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：笋干。,否,1,黑笋干
罐头食品-->蔬菜罐头,CAT_VEG,豌豆,蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：豌豆。,否,1,耙豌豆包(蔬菜类罐头)
罐头食品-->蔬菜罐头,CAT_VEG,金针菇,蔬菜及蔬菜制品,食用菌,食用菌及其制品,结合原始产品分类与产品名称进行蔬菜细分；触发词：金针菇。,否,1,金针菇（香辣味）
肉及肉制品-->熏烧烤肉制品,CAT_VEG,番茄,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：番茄。,否,1,番茄味烤脖
肉及肉制品-->熏烧烤肉制品,CAT_VEG,辣椒,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：辣椒。,否,1,烤腿(印度辣椒味)
肉及肉制品-->牛肉,CAT_VEG,黄瓜,蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：黄瓜。,否,1,生鲜牛小黄瓜条肉
茶叶及相关制品-->茶制品,CAT_TEA,茶叶及相关制品,茶叶及相关制品,茶制品,按原始茶叶细类,原始分类指向茶叶及相关制品。,否,1,茉莉特花（炒青型茉莉花茶）
蔬菜及其制品-->冷冻蔬菜,CAT_VEG,食用菌,蔬菜及蔬菜制品,食用菌,食用菌及其制品,结合原始产品分类与产品名称进行蔬菜细分；触发词：食用菌。,否,1,球盖菇（速冻食用菌）
蔬菜及其制品-->南瓜,CAT_VEG,南瓜,蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：南瓜。,否,1,南瓜
蔬菜及其制品-->扁豆,CAT_VEG,扁豆,蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：扁豆。,否,1,扁豆
蔬菜及其制品-->茼蒿,CAT_VEG,茼蒿,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：茼蒿。,否,1,茼蒿
蔬菜及其制品-->莴苣,CAT_VEG,生菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：生菜。,否,1,生菜
蔬菜及其制品-->食用菌制品,CAT_VEG,泡菜,蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：泡菜。,否,1,木耳泡菜
薯类及膨化食品-->膨化食品,CAT_VEG,葱,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：葱。,否,1,蔬菜卷（香葱鸡肉味）
蛋及蛋制品-->再制蛋,CAT_VEG,黄瓜,蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：黄瓜。,否,1,黄瓜山翻沙咸蛋
调味品-->复合调味料,CAT_VEG,茄子,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：茄子。,否,1,茄子烧椒酱（半固态复合调味料）
调味品-->复合调味料,CAT_VEG,豇豆,蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：豇豆。,否,1,肉末豇豆酸辣味半固态调味料
调味品-->复合调味料,CAT_VEG,酸菜,蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：酸菜。,否,1,酸菜辣椒酱(半固态调味料)
调味品-->复合调味料,CAT_VEG,食用菌,蔬菜及蔬菜制品,食用菌,食用菌及其制品,结合原始产品分类与产品名称进行蔬菜细分；触发词：食用菌。,否,1,食用菌炖料
调味品-->酱及酱制品,CAT_VEG,辣椒,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：辣椒。,否,1,四川豆瓣(红油)(辣椒酱)
调味品-->香辛料调味品,CAT_VEG,菌,蔬菜及蔬菜制品,食用菌,食用菌及其制品,结合原始产品分类与产品名称进行蔬菜细分；触发词：菌。,否,1,臻鲜辣椒面(即食性固态复合调味料)(经电离辐射灭菌)
豆及豆制品-->非发酵豆制品,CAT_VEG,原始蔬菜分类,蔬菜及蔬菜制品,鲜食蔬菜,非发酵豆制品,结合原始产品分类与产品名称进行蔬菜细分；触发词：原始蔬菜分类。,是,1,蔬菜汁豆干(五香味)
豆及豆制品-->非发酵豆制品,CAT_VEG,干制,蔬菜及蔬菜制品,蔬菜制品,干制/脱水蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：干制。,否,1,筒筒笋干(蔬菜干制品)
速冻面米与调制食品-->速冻调制食品,CAT_VEG,辣椒,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：辣椒。,否,1,义信福辣椒肉（调理牛肉制品）
速冻面米与调制食品-->速冻面米食品,CAT_VEG,菌,蔬菜及蔬菜制品,食用菌,食用菌及其制品,结合原始产品分类与产品名称进行蔬菜细分；触发词：菌。,否,1,猪肉芹菜(菌菇水饺)
餐饮-->蔬菜,CAT_CATERING_VEG,竹笋,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：竹笋。,否,1,干竹笋
餐饮-->蔬菜,CAT_CATERING_VEG,菌,蔬菜及蔬菜制品,食用菌,食用菌及其制品（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：菌。,否,1,鹿茸菌
餐饮-->蔬菜,CAT_CATERING_VEG,菜心,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：菜心。,否,1,菜心
餐饮-->蔬菜,CAT_CATERING_VEG,银耳,蔬菜及蔬菜制品,食用菌,食用菌及其制品（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：银耳。,否,1,干银耳
餐饮-->蔬菜,CAT_CATERING_VEG,香菇,蔬菜及蔬菜制品,食用菌,食用菌及其制品（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：香菇。,否,1,干香菇
饮料-->果蔬汁类及其饮料,CAT_VEG,番茄,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：番茄。,否,1,大果粒番茄汁饮料(加糖)
